metric,GATv2,GATv2+Mask,LSTM,EOPKG-WI,EOPKG
train_loss,0.633 ± 0.022,0.359 ± 0.007,0.349 ± 0.003,0.878 ± 0.027,0.150 ± 0.004
train_macro_f1,0.707 ± 0.010,0.764 ± 0.003,0.768 ± 0.004,0.605 ± 0.011,0.790 ± 0.004
train_topology_conditioned_allowed_set_loss,,,,0.261 ± 0.004,0.002 ± 0.001
train_topology_conditioned_drop_edges_skipped_candidate_id_batches,,,,629.000 ± 0.000,629.000 ± 0.000
train_topology_conditioned_topology_flow_penalty_loss,,,,0.261 ± 0.004,0.002 ± 0.001
train_topology_conditioned_wrong_version_skipped_candidate_id_batches,,,,629.000 ± 0.000,629.000 ± 0.000
val_loss,0.399 ± 0.008,0.341 ± 0.002,0.348 ± 0.003,0.195 ± 0.005,0.138 ± 0.000
val_macro_f1,0.735 ± 0.011,0.749 ± 0.012,0.752 ± 0.008,0.734 ± 0.017,0.783 ± 0.004
val_weighted_f1,0.882 ± 0.017,0.882 ± 0.020,0.893 ± 0.013,0.893 ± 0.007,0.922 ± 0.001
validation_allowed_set_mass_leakage,0.029 ± 0.008,0.965 ± 0.002,0.001 ± 0.000,,
validation_candidate_class_score_mean_abs,,,,91124.849 ± 0.026,91130.385 ± 0.265
validation_candidate_dynamic_count,,,,40.899 ± 0.000,40.899 ± 0.000
validation_candidate_invalid_probability_mass,,,,0.033 ± 0.004,0.000 ± 0.000
validation_candidate_missing_target_rate,,,,0.000 ± 0.000,0.000 ± 0.000
validation_candidate_node_score_mean_abs,,,,1.456 ± 0.030,7.541 ± 0.290
validation_candidate_oos_rate,,,,0.008 ± 0.011,0.000 ± 0.000
validation_candidate_pred_score,,,,8.597 ± 0.076,7.221 ± 0.158
validation_candidate_prediction_entropy,,,,0.234 ± 0.008,0.125 ± 0.005
validation_candidate_score_gap,,,,0.067 ± 0.003,0.063 ± 0.004
validation_candidate_seen_score_mean,,,,-0.467 ± 0.064,-7.127 ± 0.297
validation_candidate_seen_unseen_score_gap,,,,0.000 ± 0.000,0.000 ± 0.000
validation_candidate_target_duplicate_count_max,,,,1.000 ± 0.000,1.000 ± 0.000
validation_candidate_target_in_candidate_set_rate,,,,1.000 ± 0.000,1.000 ± 0.000
